rank,spotify_id,track_name,artists,search_query
208,2HYcI74UpbMMxLZ1m7Xnfn,Bad To Me,Wizkid,Wizkid Bad To Me
209,57YamqkskSvudGGOoooOhF,My Darling - Mpenzi Wangu,Chella; Diamond Platnumz,Chella Diamond Platnumz My Darling - Mpenzi Wangu
210,5XSuj4xrbakbDeSQom3oAr,Nairobi,Marioo; Bien,Marioo Bien Nairobi
211,39C3UVMIaU6XOm9iN6fhgg,Smooth Kriminal (with Oxlade),255; Oxlade,255 Oxlade Smooth Kriminal (with Oxlade)
212,2vQJRynClKi21S5CBnFHvj,Taxi Driver,Joeboy,Joeboy Taxi Driver
213,5SxVagJAkX57wOmMARoWD0,Barbie doll,Beatsii,Beatsii Barbie doll
214,6Ir2Zyt5AZnF2RlqXOFblo,Toma Toma,Ruger; Tiwa Savage,Ruger Tiwa Savage Toma Toma
215,0x3sDnom0itB72oEVrRE7v,Ololufe (feat. Wande Coal),Wizkid; Wande Coal,Wizkid Wande Coal Ololufe (feat. Wande Coal)
216,6DP9EqCK1sPqk9v6oOP9Mo,OKAY,Magixx,Magixx OKAY
217,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay,CKay love nwantiti (ah ah ah)
218,2com2d42sFO1QdV6k7XAAu,No Yawa,Princess Wonda,Princess Wonda No Yawa
219,3bNibGN2ah6VEIomniLPP9,1 WORK - Remix,Zhus Jdo; Famous Pluto; Smur Lee,Zhus Jdo Famous Pluto Smur Lee 1 WORK - Remix
220,2q7BfsGmjmUbxn5VkI6QKN,back n forth,Fireboy DML; Lagbaja,Fireboy DML Lagbaja back n forth
221,3UqcIgObI7zZk8e7nvqmfc,Finesse,Pheelz; BNXN,Pheelz BNXN Finesse
222,54y06gXWPYQHxrgJU5CsYb,Ruwa,Jubed,Jubed Ruwa
223,1C4anFssxHmhUTMsMxZcC1,You,Crayon; Young Jonn,Crayon Young Jonn You
224,4XeTlNBpau4kjBDScbgLvv,Dede,Yartti,Yartti Dede
225,1y9DKiy8X0zejal5Avpleb,Arike,Kunmie,Kunmie Arike
226,0EFOT4wLwR4AZBGMTg3Ne3,Sugar,DJ Boat; Dr. Chaii; Bantu,DJ Boat Dr. Chaii Bantu Sugar
227,4s6x56uNiNCAA87yzqTz5G,Sip (Alcohol),Joeboy,Joeboy Sip (Alcohol)
228,3nT2nrfb3FMLg03W4mPaBl,Cough (Odo),Kizz Daniel,Kizz Daniel Cough (Odo)
229,65v99AWZyNz3aRmfrT2I7N,i'm a mess,Omah Lay,Omah Lay i'm a mess
230,18v46nkUTOnJeZJtns4s43,France Feeling,Kokoë; Mamba Sounds,Kokoë Mamba Sounds France Feeling
231,49ytLGEP5S20N3AhB5YuwJ,Party No Dey Stop (with Zinoleesky),Adekunle Gold; Zinoleesky,Adekunle Gold Zinoleesky Party No Dey Stop (with Zinoleesky)
232,1OoPhcM78evXIxjmSzCnmf,Bloody Samaritan,Ayra Starr,Ayra Starr Bloody Samaritan
233,62N0RkCCs4XQXk7hgnpOXo,Woman,Rema,Rema Woman
234,4G11wDzAKuCFqApL4g3ixC,High,Adekunle Gold; Davido,Adekunle Gold Davido High
235,3XloH0C8QYXgbYPmXlxf2x,Ruin,USHER; Pheelz,USHER Pheelz Ruin
236,2dGE7HMvZEjuNxzz4IDLyL,Jagele,Burna Boy,Burna Boy Jagele
237,2dFqK2ZkYB9Xc47gr3xXWl,Replay,Tems,Tems Replay
238,0ve0CavjqrUqVmZ605RhTV,Jump,Tyla; Gunna; Skillibeng,Tyla Gunna Skillibeng Jump
239,3sKBph3ElueH1dVLmkHWZZ,YAYO,Rema,Rema YAYO
240,1zwZ26A7OA5wTrA3FejCLL,Monalisa,Lojay; Sarz,Lojay Sarz Monalisa
241,5V9XFfvCG4WP5ZdISOLvaF,Sability,Ayra Starr,Ayra Starr Sability
242,1MZtr7IH5qtjIkqrXj8WOJ,Essence (feat. Justin Bieber & Tems),Wizkid; Justin Bieber; Tems,Wizkid Justin Bieber Tems Essence (feat. Justin Bieber & Tems)
243,2Iv3GHM3xFKIPbYSnhJAXO,Okay,Adekunle Gold,Adekunle Gold Okay
244,0XQuWhRG7qD7OYHKsgt0BN,If,Davido,Davido If
245,1tOp1bXhT9tvydSAGDHdQy,Stamina,Tiwa Savage; Ayra Starr; Young Jonn,Tiwa Savage Ayra Starr Young Jonn Stamina
246,0lk5tzmaJWVAv5GBvpm3xu,Peru,Fireboy DML,Fireboy DML Peru
247,4E0teOQQQwagLVvQ7VfYm1,Drogba (Joanna),Afro B,Afro B Drogba (Joanna)
248,07eJSSPcNlkR34wVlkrCcY,Dangbana Riddim,Bella Shmurda; FOLA,Bella Shmurda FOLA Dangbana Riddim
249,5ycsqezujKrwviU3VFhci1,Terminator,Asake,Asake Terminator
250,3MldGIMtPcupNBI4Dnxolr,Constantly,Hyce; BoyPee; Brown Joel,Hyce BoyPee Brown Joel Constantly
251,3vuGwx5CP51j6c4xW1qD6y,Show Me Love (with Tyla),WizTheMc; bees & honey; Tyla,WizTheMc bees & honey Tyla Show Me Love (with Tyla)
252,6lZ5p6VTbZ2ZvnsdTlLv7I,emiliana,CKay,CKay emiliana
253,2jZ2MrAk8iNZk1dsI0Vr5z,Cold Outside,Timaya; BNXN,Timaya BNXN Cold Outside
254,0meYsBN0idSQQIZnHxaIDY,No Wahala Dey,1UCID,1UCID No Wahala Dey
255,03YUNUpazIbzwqJq2YSBvB,Kilometre,Burna Boy,Burna Boy Kilometre
256,0BlBcMUDVI68fwwNGulSGM,Luv Again,Ruger,Ruger Luv Again
257,3jWAkZ9nUbGzPDapyrAIw2,Sugarcane - Remix,Camidoh; Mayorkun; Darkoo; King Promise,Camidoh Mayorkun Darkoo King Promise Sugarcane - Remix
258,4vHy2IHzf3EabEa7oMpUZB,No Wahala,1da Banton,1da Banton No Wahala
259,6McBvfxgkVfREmQPwTKBUn,Electricity,Pheelz; Davido,Pheelz Davido Electricity
260,7HmE17lcfpENCJkuurXDvh,Dalie,Kamo Mphela; Tyler ICU; Khalil Harrison; Baby S.O.N,Kamo Mphela Tyler ICU Khalil Harrison Baby S.O.N Dalie
261,3KanRQJTuX9hTRG2rnscYO,KU LO SA,Oxlade,Oxlade KU LO SA
262,57jUCJelGAISFxuea34lrr,Girlfriend,Ruger,Ruger Girlfriend
263,5DS9LiyEdw2zY8bM6kjjgM,Infinity (feat. Omah Lay),Olamide; Omah Lay,Olamide Omah Lay Infinity (feat. Omah Lay)
264,7rpWDu9GPlLxbLorYKVys7,Gbona,Burna Boy,Burna Boy Gbona
265,7AbLGIOzFkx6jHq5en5xiH,Sempe,L.A.X,L.A.X Sempe
266,4k4pdUWX8632g7yByxC3rS,Sungba (feat. Burna Boy) - Remix,Asake; Burna Boy,Asake Burna Boy Sungba (feat. Burna Boy) - Remix
267,3IQT2MM49GkXfHF9eemaw5,Soweto,Victony; Tempoe,Victony Tempoe Soweto
268,5gOtq0sKU24ZF8hnXlSp1V,System (feat. WizKid),Dave; Wizkid,Dave Wizkid System (feat. WizKid)
269,1ZXvWdX8l4j7JLL9kSoiT5,Deodorant,Toofan,Toofan Deodorant
270,1BJJbSX6muJVF2AK7uH1x4,Move,Adam Port; Stryv; Keinemusik; Orso; Malachiii,Adam Port Stryv Keinemusik Orso Malachiii Move
271,3aJF7HsFOwuUAFOaRMQCxR,Butta My Bread,JZyNo; Lasmid,JZyNo Lasmid Butta My Bread
272,1VBoC1tRFA7WI7r2fk9Sis,Fight 4 Love,Dj Hkeem; Kobi Jonz,Dj Hkeem Kobi Jonz Fight 4 Love
273,44SSviC4R1TkAdsyptjDpE,Anybody,Burna Boy,Burna Boy Anybody
274,3ketN3dth18vSJ1T3HIztN,B. D’OR (feat. Wizkid),Burna Boy; Wizkid,Burna Boy Wizkid B. D’OR (feat. Wizkid)
275,7onM6Fbiu7ufnMQnbd5oZJ,Ole (feat. BNXN),Qing Madi; BNXN,Qing Madi BNXN Ole (feat. BNXN)
276,3s4WNh0WnfhwvIlrp6RTBj,ZAAZAA,Frenna; Shallipopi,Frenna Shallipopi ZAAZAA
277,3R2Etej4zzbt8LTs3rvJA1,Fashion Killer,Ayra Starr,Ayra Starr Fashion Killer
278,0dhDx6C4ELMn0uMJpzgfrm,Ladda,Noise Cans; DJ Boat; Kobi Jonz; Korie Minors; Jane Macgizmo,Noise Cans DJ Boat Kobi Jonz Korie Minors Jane Macgizmo Ladda
279,1136eJrkWsDvReASbjLTaU,Awolowo,Fido,Fido Awolowo
280,5SoDaPgXA4C2BuTPPInaV2,Science,Burna Boy,Burna Boy Science
281,6MzjLOHzkqoi7667ysz41k,Koroba,Tiwa Savage,Tiwa Savage Koroba
282,6VX4hVDmDMfClxp6EwDNQP,Bad Vibes (feat. Seyi Vibez),Ayra Starr; Seyi Vibez,Ayra Starr Seyi Vibez Bad Vibes (feat. Seyi Vibez)
283,51mLQ3w7yR7vjdSTFLWaY5,Ginger (feat. Burna Boy),Wizkid; Burna Boy,Wizkid Burna Boy Ginger (feat. Burna Boy)
284,6Qa0wHpaiaIzXgMptP3rxV,Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix,Master KG; Nomcebo Zikode; Burna Boy,Master KG Nomcebo Zikode Burna Boy Jerusalema (feat. Burna Boy & Nomcebo Zikode) - Remix
285,32ricrpPgci8zrxFBpLBI6,PITY THIS BOY (with Victony),ODUMODUBLVCK; Victony,ODUMODUBLVCK Victony PITY THIS BOY (with Victony)
286,1lWcw1YdBbYbFzJ9BKyDqc,Go Crazy,Blaqbonez,Blaqbonez Go Crazy
287,6BWgLorAwF17ofyu8361HM,Cast,Shallipopi; ODUMODUBLVCK,Shallipopi ODUMODUBLVCK Cast
288,7JMkjelaEgUOdV7926uzGi,Focus On Me (All The Sexy Girls In The Club),Darkoo,Darkoo Focus On Me (All The Sexy Girls In The Club)
289,10AIyGWEbCddWbxHzRm9pJ,Terminator - Remix,King Promise; Sean Paul; Tiwa Savage,King Promise Sean Paul Tiwa Savage Terminator - Remix
290,67z96vytrhBnjKUnbELemt,SHAKE AH (feat. Tony Duardo, Optimist Music ZA & Ez Maestro),Tyla; Tony Duardo; Optimist Music ZA; Ez Maestro,Tyla Tony Duardo Optimist Music ZA Ez Maestro SHAKE AH (feat. Tony Duardo; Optimist Music ZA & Ez Maestro)
291,5v8Fxy6Zw8gOzi802lpDOt,woman,Omah Lay,Omah Lay woman
292,6BtXtwOOy9CfpdlClUscJv,Anybody,Burna Boy,Burna Boy Anybody
293,765zfCJsXtDDPInx1smYLo,Real Man,Korede Bello,Korede Bello Real Man
294,6wuMo4ZR83PhlhXhJ1S3VY,GWAGWALADA,BNXN; Kizz Daniel; Seyi Vibez,BNXN Kizz Daniel Seyi Vibez GWAGWALADA
295,3wdV4OJ37JdoLyUJMm50UW,lost,FOLA; Kizz Daniel,FOLA Kizz Daniel lost
296,5nmYNuBSh99LNDdZ0iSe2O,Get Better,Zlatan; FOLA,Zlatan FOLA Get Better
297,0OWPr4POCQ7iH9BGmTxOZV,LEGOLAS,ODUMODUBLVCK,ODUMODUBLVCK LEGOLAS
298,2hODYSmDyWMu2C2XN4bgOV,SHAOLIN,Seyi Vibez,Seyi Vibez SHAOLIN
299,6gYHfdySsN4Hqvr4f0g3BX,Do You Mind?,Adekunle Gold,Adekunle Gold Do You Mind?
300,11RIJRbBfyLlJut96itSFd,Energy (Stay Far Away),Skepta; Wizkid,Skepta Wizkid Energy (Stay Far Away)
301,2pempG6Jl7ZHDpCBElQUec,Dior,Ruger,Ruger Dior
302,3BnDvpeuGOj21Ir2aVEtQo,Calm Down,Rema,Rema Calm Down
303,5UwxpuGHkwiojKDaPC5ZNu,Joha,Asake,Asake Joha
304,4wvnXoQqjIOoEis5eyTbCl,Lazarus (feat. Boj),Dave; Boj,Dave Boj Lazarus (feat. Boj)
305,0N83qk5axJe71xNDXeViFQ,Bounce,Rema,Rema Bounce
306,6NuG2JgERZZXvvjmtjOFix,Sugarcane - Remix,Camidoh; Mayorkun; Darkoo; King Promise,Camidoh Mayorkun Darkoo King Promise Sugarcane - Remix
307,40t1l3IPtEIjlhAUPxn7jd,Toma Toma,Ruger; Tiwa Savage,Ruger Tiwa Savage Toma Toma
308,3eRaxLLhyYHKr8oiR6NeYI,Favourite Girl (with Rema),Darkoo; Rema,Darkoo Rema Favourite Girl (with Rema)
309,5YEVBJnnt2qMM67NGCjEdV,INTOXYCATED,Oxlade; Dave,Oxlade Dave INTOXYCATED
310,1YUrCnmAEQbdmTeucn3WCl,Philo,Bella Shmurda; Omah Lay,Bella Shmurda Omah Lay Philo
311,6sfdU1tGLpXhjjLjGJa0zA,FIA,Davido,Davido FIA
312,2M6LmH53eUJdyG00LjKouA,LV N ATTN feat. Wizkid,Lojay; Sarz; Wizkid,Lojay Sarz Wizkid LV N ATTN feat. Wizkid
313,6NKuW3yaNXtloGw1RB8WUi,Certified Loner (No Competition),Mayorkun,Mayorkun Certified Loner (No Competition)
314,6hyTI3In7vu6fqFRoypcuz,Common Person,Burna Boy,Burna Boy Common Person
315,2PDgArI0p7UkeYgXWuqpmh,Last Last,Burna Boy,Burna Boy Last Last
316,04caQq1IeChrnBnvch1FQf,Lonely At The Top - Remix,Asake; H.E.R.,Asake H.E.R. Lonely At The Top - Remix
317,0aMOalD335v1hsSXmLURzz,Time N Affection,Chris Brown; Rema,Chris Brown Rema Time N Affection
318,0jjH8vwVEENKNpDPWWOwuK,Vanilla,Burna Boy,Burna Boy Vanilla
319,1eDI5oU04SLsXl0TfxfwYf,Love Me JeJe,Tems,Tems Love Me JeJe
320,08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),Drake; Tems,Drake Tems Fountains (with Tems)
321,7BglTfVmbUUOCQUNof4RBF,One Woman,Adekunle Gold; Ty Dolla $ign,Adekunle Gold Ty Dolla $ign One Woman
322,37nExiid2iQtQzCJfUzohy,Laho,Shallipopi,Shallipopi Laho
323,4yaPPFIafaVaMRHZ5IHkbA,No Wahala - Remix,1da Banton; Kizz Daniel; Tiwa Savage,1da Banton Kizz Daniel Tiwa Savage No Wahala - Remix
324,0dCOSNPQizhMMjO6UxGlzi,Drogba (Joanna),Afro B,Afro B Drogba (Joanna)
325,2JfRd9fkzyZge8BZzs7aUI,Hmmm (feat. Davido),Chris Brown; Davido,Chris Brown Davido Hmmm (feat. Davido)
326,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,Bad Bunny Tití Me Preguntó
327,140dx97IbJbQhIMd7AaHeb,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay; Joeboy; Kuami Eugene,CKay Joeboy Kuami Eugene love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix]
328,4URabg9AGHasjFEVdTbWcC,Dalie (feat. Baby S.O.N),Kamo Mphela; Tyler ICU; Khalil Harrison; Baby S.O.N,Kamo Mphela Tyler ICU Khalil Harrison Baby S.O.N Dalie (feat. Baby S.O.N)
329,780BUxpCmW9vOVYZsqdLLE,Wave,Asake; Central Cee,Asake Central Cee Wave
330,0b7YcZJ186TaQZzxrxIO1e,Yanna,Chop Daily; Deyon Agoi,Chop Daily Deyon Agoi Yanna
331,29e2gdZN35wxeGgDtkXjIa,Feeling,LADIPOE; BNXN,LADIPOE BNXN Feeling
332,28QpG4RmYhxq2YxjmQ06Ch,Ginger Me,Rema,Rema Ginger Me
333,319xYgRF9JFpGLTtiCDhC7,Trouble,DRB Lasgidi; Teezee; Boj; Fresh L.; Tems,DRB Lasgidi Teezee Boj Fresh L. Tems Trouble
334,1xWC2YE7OEcgQd4w8Gqa3p,Energy,DJ Tunez; Ashanti; Adekunle Gold,DJ Tunez Ashanti Adekunle Gold Energy
335,2mzM4Y0Rnx2BDZqRnhQ5Q6,Free Mind,Tems,Tems Free Mind
336,6nLdg1lpE3dHLmNam1aoA6,Dior,Ruger,Ruger Dior
337,4FtuDjqmTPP9mjxygLKzEm,Omo,Burna Boy,Burna Boy Omo
338,0BzX5iHjzOJw3j9xK4B5pq,Gold,J Hus; Asake,J Hus Asake Gold
339,4GLbOfhuU3OXDlRH5RLs5k,Sere (Remix),SPINALL; Fireboy DML; 6LACK,SPINALL Fireboy DML 6LACK Sere (Remix)
340,6pz1iqWlBwYXiAzJB7OAZY,Bloody Samaritan (with Kelly Rowland) - Remix,Ayra Starr; Kelly Rowland; Loud Urban Choir,Ayra Starr Kelly Rowland Loud Urban Choir Bloody Samaritan (with Kelly Rowland) - Remix
341,7IAzRTQQz6Aoywj0R1Qce5,Confession,Babyboy AV,Babyboy AV Confession
342,6bW7YnPQQffit1iwule5Vv,emiliana,CKay,CKay emiliana
343,1jloWdvMh9nwHUu3mag8CL,Mad Over You,Runtown,Runtown Mad Over You
344,1eldTykrnkEBLX41bk5eMw,Petit génie,Jungeli; Imen Es; Alonzo; Abou Debeing; Lossa,Jungeli Imen Es Alonzo Abou Debeing Lossa Petit génie
345,2JkIrQmiFXvqYQHhnPiY5D,TaTaTa (feat. Travis Scott),Burna Boy; Travis Scott,Burna Boy Travis Scott TaTaTa (feat. Travis Scott)
346,6ptu4Fyc5N5u4VLt81CCJF,Forévà,Tayc,Tayc Forévà
347,2dJMDzMF5jMvVFKLTci81H,D O D O,Tayc,Tayc D O D O
348,3d04OfVqip9ZQdvboUsPg3,Duffel Bag,Joeboy,Joeboy Duffel Bag
349,0CUJV0Hh512Ns7U2yGflqt,Ototo,Asake,Asake Ototo
350,2IOMDdgUZfjlsPYXGeeoaH,10 Kilo,Davido,Davido 10 Kilo
351,1HEwEN64NjgTaHmo7LfkX8,no tiene sentido,Beéle,Beéle no tiene sentido
352,4ZLPVrjMb6dkY0v9Tf3UKt,Like Dat,Darkoo,Darkoo Like Dat
353,22uU5EVRx6rVpuUANTFEhn,Love Riddim,Rotimi,Rotimi Love Riddim
354,0UJMgRVNBrnMmAeZ8p1iMc,Aquafina,Young Jonn,Young Jonn Aquafina
355,3qSk5TP4A8gQIsb8iNVwnx,One Call,SPINALL; Omah Lay; Tyla,SPINALL Omah Lay Tyla One Call
356,664mVcYRMDsVnOg95R71Ti,Moving,Omah Lay,Omah Lay Moving
357,7d1aTQlsHMgWmkPywDi7h1,Omo Ope (feat. Olamide),Asake; Olamide,Asake Olamide Omo Ope (feat. Olamide)
358,4204hwPYuToiuSunPFUoML,True Love (feat. Tay Iwar & Projexx),Wizkid; Tay Iwar; Projexx,Wizkid Tay Iwar Projexx True Love (feat. Tay Iwar & Projexx)
359,3Kc2ZkX5CjmoaOSIi1kyh2,Danger,KiDi,KiDi Danger
360,4EoYs4KY7oHQpJPTuxD7mU,Romeo Must Die (RMD),Ruger; BNXN,Ruger BNXN Romeo Must Die (RMD)
361,7IFoyt4ZL7raIETupyDCYM,My Dealer,KAESTYLE; Omah Lay,KAESTYLE Omah Lay My Dealer
362,7LKbaK4RD00Nso9EJk4opn,Tiki Taka,Vacra,Vacra Tiki Taka
363,55nKxeuQ63YLqhtxPWMCgN,APALA DISCO (feat. Wizkid, Seyi Vibez & Terry Apala) - Remix,DJ Tunez; Wizkid; Seyi Vibez; Terry Apala,DJ Tunez Wizkid Seyi Vibez Terry Apala APALA DISCO (feat. Wizkid; Seyi Vibez & Terry Apala) - Remix
364,5VQagemEOLpJJikcLzDNYR,Crazy Tings,Tems,Tems Crazy Tings
365,6iC4xfqow6iAsRhPh5IrWz,PAMI (feat. Wizkid, Adekunle Gold & Omah Lay),DJ Tunez; Wizkid; Adekunle Gold; Omah Lay,DJ Tunez Wizkid Adekunle Gold Omah Lay PAMI (feat. Wizkid; Adekunle Gold & Omah Lay)
366,3FyxwVvc9JqmVl5IVDPaNU,Cheat On Me (feat. Dave),Burna Boy; Dave,Burna Boy Dave Cheat On Me (feat. Dave)
367,0WeU5EfNFu1wmlmCdMNDEJ,Metaverse,Olamide,Olamide Metaverse
368,5mN3xSyvCmFy1jkdA98IfS,Fever,Wizkid,Wizkid Fever
369,4Su04rfy8UL4yDkIT6gFgG,GOD DESIGN,Jux; Phyno,Jux Phyno GOD DESIGN
370,0UP1t8bOHiRzdeet1WYXLo,Commitment,Craig David; Tiwa Savage,Craig David Tiwa Savage Commitment
371,1SJQNDyy5OsL8kQHotWSh3,Work Me Out (with Wizkid),Shenseea; Wizkid,Shenseea Wizkid Work Me Out (with Wizkid)
372,1z3Lac4bdl57XLcu35ma1M,No Wahala,1da Banton,1da Banton No Wahala
373,4L4m2mgZDF8KIkJPdWWIAf,Sittin' On Top Of The World,Burna Boy,Burna Boy Sittin' On Top Of The World
374,6IyR5rzYfQYZdPlwMUk7GF,Colours,Kid AlpHa,Kid AlpHa Colours
375,0eqmxkeJHQs3mdOEFluYXB,Down Flat,Kelvyn Boy,Kelvyn Boy Down Flat
376,7862flGk6U3tiWs2m2aUzH,Bank On It,Burna Boy,Burna Boy Bank On It
377,1aXxi9PSxNV8vI5BruR7vv,On The Low,Burna Boy,Burna Boy On The Low
378,1Jrrjn30MNNzetRHTwGxvw,Abracadabra,Boj; Davido; Mr Eazi,Boj Davido Mr Eazi Abracadabra
379,02YMpD1xbZZzpZbuZNvmD7,Sideways,Gordo; Drake,Gordo Drake Sideways
380,6hgoYQDUcPyCz7LcTUHKxa,Calm Down,Rema,Rema Calm Down
381,37neENY88EhsuW7ZqJsy6C,Everything,Victony,Victony Everything
382,3weAbRf5cn9SiCYxqZedot,Likkle Riddim,Joeboy,Joeboy Likkle Riddim
383,0HihDC6qQ8MChAhjfW3gMU,KU LO SA (with Camila Cabello),Oxlade; Camila Cabello,Oxlade Camila Cabello KU LO SA (with Camila Cabello)
384,5Dz7hEiizJdHkUEPfnoBji,MESMERIZED,Mack H.D; UGENE NGHT,Mack H.D UGENE NGHT MESMERIZED
385,1ndeyZurGdaWqLh3srX0ia,Antidote (feat. Adekunle Gold),Nao; Adekunle Gold,Nao Adekunle Gold Antidote (feat. Adekunle Gold)
386,5jVpi3fFf5OGAZ5bpe4Bhy,Lie,Kizz Daniel,Kizz Daniel Lie
387,6s2Axyc8OgfFFlDMK3XtqZ,Alchl,Magixx,Magixx Alchl
388,5Wxkvvb6pLky16pwq4gBI3,Dealer,Ayo Maff; Fireboy DML,Ayo Maff Fireboy DML Dealer
389,2rFPUq8a7gvO0IuaN9LpV7,In Fact (feat. Gabzy),melvitto; Gabzy,melvitto Gabzy In Fact (feat. Gabzy)
390,3PG45NefxQe8S5gkuJaFd7,Mufasa,Tekno,Tekno Mufasa
391,7CkDjDtJjCZA7AW7RBvrvC,OHEMA (with Crayon & Bella Shmurda),Victony; Crayon; Bella Shmurda,Victony Crayon Bella Shmurda OHEMA (with Crayon & Bella Shmurda)
392,6OGNF7mro80pMi5q1HhylS,Jealousy (feat. Leemckrazy & Ceeka RSA),Khalil Harrison; Tyler ICU; LeeMcKrazy; Ceeka RSA,Khalil Harrison Tyler ICU LeeMcKrazy Ceeka RSA Jealousy (feat. Leemckrazy & Ceeka RSA)
393,3Yt1ovsh3v3VEzRuhI1TL5,Joro,Wizkid,Wizkid Joro
394,2irQkcW7o3v0tZoGZrtUsO,Favourite Girl (with Rema),Darkoo; Rema,Darkoo Rema Favourite Girl (with Rema)
395,2cXWF03NCgkldzcCU8w1r1,I'm Betting You Know That,Vudumane,Vudumane I'm Betting You Know That
396,52Krs3LCqtcfeiWUvhxncK,POE,Ruger; BNXN,Ruger BNXN POE
397,6g8vNyogMW32lhHlNcDiwX,Diana,Fireboy DML; Chris Brown; Shenseea,Fireboy DML Chris Brown Shenseea Diana
398,77eZIuMTB9HrQ86L4ljqEX,Baby Riddim,FAVE,FAVE Baby Riddim
399,0CL8DINos7ow0xGrvR0pHD,Ifeoma,Ozedikus; CupidSZN; BoiGizmo,Ozedikus CupidSZN BoiGizmo Ifeoma
400,0YeUYYOh25Cn57DKTC8uS4,GWAGWALADA,BNXN; Kizz Daniel; Seyi Vibez,BNXN Kizz Daniel Seyi Vibez GWAGWALADA
401,4K5lYtD8r6OFRbzWc6MwCS,AZAMAN,Rema,Rema AZAMAN
402,3Ae97zTfGTtJzDfmCweNn8,Bad For You (feat. Jazmine Sullivan),Wizkid; Jazmine Sullivan,Wizkid Jazmine Sullivan Bad For You (feat. Jazmine Sullivan)
403,5F4OfeowSReF93KcH2eUcG,Xtra Cool,Young Jonn,Young Jonn Xtra Cool
404,3qeMtqV38UWPZfps7mPTUE,No.1 (feat. Tems),Tyla; Tems,Tyla Tems No.1 (feat. Tems)
405,2Jy4EdqIZswDZvVDh5dx3A,Dimension (feat. Skepta & Rema),JAE5; Skepta; Rema,JAE5 Skepta Rema Dimension (feat. Skepta & Rema)
406,2ZFAAhOIIFuIKFWuE59UtM,Peru,Fireboy DML,Fireboy DML Peru
407,54seQV7MCcppBrznALCdlT,Tshwala Bam (feat. S.N.E, EeQue),TitoM; Yuppe; S.N.E; EeQue,TitoM Yuppe S.N.E EeQue Tshwala Bam (feat. S.N.E; EeQue)
408,6XBIOtdSL47qn201KKNCA0,JUJU (feat. Shallipopi),Smur Lee; ODUMODUBLVCK; Shallipopi,Smur Lee ODUMODUBLVCK Shallipopi JUJU (feat. Shallipopi)
409,2JkjBVJIukdat5jNJeYyzz,Only Fans,Young Jonn,Young Jonn Only Fans
410,1DcfJPW7bEvqOGB5o1GWAc,Let Dem Kno,Smallgod; Tiwa Savage; Kwesi Arthur,Smallgod Tiwa Savage Kwesi Arthur Let Dem Kno
411,6ewsOjbC1jWAZcjAhVxDs0,Peace Be Unto You (PBUY),Asake,Asake Peace Be Unto You (PBUY)
412,0PXukVbYpvz40KcEFKnIw7,Don't Rush (feat. Headie One),Young T & Bugsey; Headie One,Young T & Bugsey Headie One Don't Rush (feat. Headie One)
413,7IDrQtd8JrnExDCPSq0W90,Sere,SPINALL; Fireboy DML,SPINALL Fireboy DML Sere
414,6ZBXya9ewPZa6zXDRfPhog,WAHALA (feat. Olamide),CKay; Olamide,CKay Olamide WAHALA (feat. Olamide)
